sample_id	oncotree_code	organ	tissue	st_technology	disease_state	priority_tier	exclude_reason	n_spots	n_spots_norm	nb_genes	inter_spot_dist	area_mm2	area_zscore	fullres_px_w	fullres_px_h	pixel_size_um
TENX98	IDC	Breast	Breast	Xenium	Cancer	xenium		26070	26070.0	541	100.0	258.4	5.35	51458	111225	0.2125
TENX97	IDC	Breast	Breast	Xenium	Cancer	xenium		11845	11845.0	541	100.0	117.8	1.44	48441	53833	0.2125
TENX96	ILC	Breast	Breast	Xenium	Cancer	xenium		8624	8624.0	541	100.0	85.5	0.54	45749	41411	0.2125
TENX95	IDC	Breast	Breast	Xenium	Cancer	xenium		11845	11845.0	541	100.0	117.4	1.43	48376	53738	0.2125
TENX94	ILC	Breast	Breast	Xenium	Cancer	xenium		9152	9152.0	541	100.0	90.7	0.69	48511	41405	0.2125
TENX92	COAD	Bowel	Colon	Visium	Cancer	high		6518	6518.0	18085	100.0	80.5	0.4	28731	37434	0.2736
TENX91	COAD	Bowel	Colon	Visium	Cancer	high		6352	6352.0	18085	100.0	81.2	0.42	28004	38719	0.2737
TENX90	COAD	Bowel	Colon	Visium	Cancer	high		6487	6487.0	18085	100.0	82.1	0.44	28731	38161	0.2736
TENX89	COAD	Bowel	Colon	Visium	Cancer	high		6414	6414.0	18085	100.0	82.0	0.44	28004	39077	0.2737
TENX88		Brain	Brain	Visium	Healthy	skip	non_cancer	5303	5303.0	19465	100.0	60.2	-0.16	21975	36523	0.2738
TENX87		Brain	Brain	Visium	Healthy	skip	non_cancer	5221	5221.0	19465	100.0	61.9	-0.12	22523	36528	0.2742
TENX86		Brain	Brain	Visium	Healthy	skip	non_cancer	5254	5254.0	19465	100.0	64.4	-0.05	23070	37252	0.2738
TENX85		Brain	Brain	Visium	Healthy	skip	non_cancer	5324	5324.0	19465	100.0	62.3	-0.11	22523	36887	0.2738
TENX84		Brain	Brain	Visium	Healthy	skip	non_cancer	5134	5134.0	19465	100.0	119.2	1.48	34428	46200	0.2737
TENX83		Brain	Brain	Visium	Healthy	skip	non_cancer	6965	6965.0	19465	100.0	127.1	1.7	46371	36588	0.2737
TENX82		Brain	Brain	Visium	Healthy	skip	non_cancer	8470	8470.0	19465	100.0	163.5	2.71	45106	48372	0.2737
TENX81		Embryo	Embryo	Visium	Healthy	skip	non_cancer	6434	6434.0	19465	100.0	174.0	3.0	48070	48308	0.2737
TENX80		Brain	Brain	Visium	Healthy	skip	non_cancer	2702	2702.0	32285	100.0	70.2	0.12	11291	11757	0.7273
TENX79		Brain	Brain	Visium	Healthy	skip	non_cancer	8462	8462.0	19465	100.0	163.4	2.71	45106	48372	0.2737
TENX78		Brain	Brain	Visium	Healthy	skip	non_cancer	6963	6963.0	19465	100.0	127.1	1.7	46371	36588	0.2737
TENX77		Brain	Brain	Visium	Healthy	skip	non_cancer	5123	5123.0	19465	100.0	119.2	1.48	34428	46200	0.2737
TENX76		Lung/Brain	Lung/Brain	Visium	Healthy	skip	non_cancer	4049	4049.0	19465	100.0	186.3	3.35	50834	48839	0.2739
TENX75		Kidney/Brain	Kidney/Brain	Visium	Healthy	skip	non_cancer	2805	2805.0	19465	100.0	85.4	0.54	34284	33196	0.274
TENX74		Lung/Brain	Lung/Brain	Visium	Healthy	skip	non_cancer	4679	4679.0	19465	100.0	119.1	1.47	40583	39147	0.2738
TENX73	GBM	Brain	Brain	Visium	Cancer	inspect	large_slide(233mm2,z=4.7)	10878	10878.0	18085	100.0	233.5	4.66	60095	51836	0.2738
TENX72	LNET	Lung	Lung	Visium	Cancer	low		6195	6195.0	18085	100.0	94.8	0.8	38510	32875	0.2737
TENX71		Kidney	Kidney	Visium	Healthy	skip	non_cancer	5936	5936.0	18085	100.0	85.6	0.54	35976	31762	0.2737
TENX70	COADREAD	Bowel	Colorectal	Visium	Cancer	inspect	large_slide(173mm2,z=3.0)	9080	9080.0	18085	100.0	172.8	2.97	51996	44403	0.2736
TENX69		Brain	Brain	Visium	Healthy	skip	non_cancer	4298	4298.0	19465	100.0	83.9	0.5	26591	42112	0.2738
TENX68	IDC	Breast	Breast	Visium	Cancer	high		1657	1657.0	18085	100.0	59.3	-0.19	20690	38232	0.2738
TENX67		Brain	Brain	Visium	Healthy	skip	non_cancer	2797	2797.0	32285	100.0	93.1	0.75	13332	13332	0.7238
TENX65	HGSOC	Ovary	Ovary	Visium	Cancer	medium		4674	4674.0	18085	100.0	92.5	0.73	30035	41048	0.2738
TENX62	LUSC	Lung	Lung	Visium	Cancer	high		3858	3858.0	18085	100.0	78.2	0.34	35637	29395	0.2733
TENX61		Brain	Brain	Visium	Healthy	skip	non_cancer	2235	2235.0	19465	100.0	49.8	-0.45	23735	28062	0.2736
TENX60		Brain	Brain	Visium	Healthy	skip	non_cancer	2310	2310.0	19465	100.0	83.5	0.49	32304	34520	0.2737
TENX58		Brain	Olfactory bulb	Visium	Healthy	skip	non_cancer	1185	1185.0	32285	100.0	78.0	0.33	10000	10000	0.8829
TENX56		Brain	Cerebellum	Visium	Healthy	skip	non_cancer	4992	4992.0	1186	100.0	93.7	0.77	13332	13332	0.7259
TENX55		Brain	Brain	Visium	Healthy	skip	non_cancer	2825	2825.0	31053	100.0	71.2	0.14	11620	11607	0.7264
TENX54		Brain	Brain	Visium	Healthy	skip	non_cancer	3293	3293.0	31053	100.0	71.2	0.14	11620	11607	0.7264
TENX53	IDC	Breast	Breast	Visium	Cancer	inspect	large_slide(156mm2,z=2.5)	4898	4898.0	36601	100.0	156.4	2.51	41572	27755	0.3682
TENX52		Brain	Brain	Visium	Healthy	skip	non_cancer	2698	2698.0	31053	100.0	70.1	0.11	11291	11757	0.7267
TENX51	SOC	Ovary	Ovary	Visium	Cancer	medium		3455	3455.0	17943	100.0	83.6	0.49	13772	12681	0.692
TENX50	CESC	Cervix	Cervix	Visium	Cancer	medium		2781	2781.0	17943	100.0	83.8	0.49	13761	12701	0.6925
TENX49	COAD	Bowel	Large intestine	Visium	Cancer	high		2660	2660.0	17943	100.0	83.7	0.49	13764	12674	0.6926
TENX46	PRAD	Prostate	Prostate	Visium	Cancer	low		3043	3043.0	17943	100.0	82.1	0.45	27472	25188	0.3445
TENX45		Kidney	Kidney	Visium	Healthy	skip	non_cancer	3124	3124.0	19465	100.0	82.3	0.45	27443	25260	0.3447
TENX43		Brain	Brain	Visium	Healthy	skip	non_cancer	2264	2264.0	19465	100.0	82.2	0.45	25216	27444	0.3447
TENX41		Prostate	Prostate	Visium	Healthy	skip	non_cancer	2543	2543.0	17943	100.0	82.4	0.45	27469	25224	0.3448
TENX40	PRAD	Prostate	Prostate	Visium	Cancer	low		4371	4371.0	17943	100.0	82.3	0.45	27482	25219	0.3447
TENX39	IDC	Breast	Breast	Visium	Cancer	high		2518	2518.0	17943	100.0	82.4	0.45	27452	25233	0.3448
TENX31	GBM	Brain	Brain	Visium	Cancer	low		3468	3468.0	36601	100.0	93.6	0.77	13332	13332	0.7258
TENX30	GBM	Brain	Brain	Visium	Cancer	low		3468	3468.0	1253	100.0	93.6	0.77	13332	13332	0.7258
TENX29	COAD	Bowel	Large intestine	Visium	Cancer	high		3138	3138.0	36601	100.0	93.6	0.77	13332	13332	0.7257
TENX28	COAD	Bowel	Colon	Visium	Cancer	high		3138	3138.0	1142	100.0	93.6	0.77	13332	13332	0.7257
TENX27		Brain	Cerebellum	Visium	Healthy	skip	non_cancer	4992	4992.0	1186	100.0	93.7	0.77	13332	13332	0.7259
TENX24	ILC	Breast	Breast	Visium	Cancer	high		4325	4325.0	32285	100.0	78.8	0.35	24240	24240	0.3662
TENX23	ILC	Breast	Breast	Visium	Cancer	high		4325	4325.0	1056	100.0	78.8	0.35	24240	24240	0.3662
TENX22		Kidney	Kidney	Visium	Healthy	skip	non_cancer	1438	1438.0	31053	100.0	67.4	0.04	11300	11300	0.7265
TENX19		Brain	Brain	Visium	Healthy	skip	non_cancer	3353	3353.0	31053	100.0	71.1	0.14	11620	11607	0.726
TENX18		Brain	Brain	Visium	Healthy	skip	non_cancer	2696	2696.0	31053	100.0	71.2	0.14	11620	11607	0.7267
TENX16		Lymph node	Lymph node	Visium	Healthy	skip	non_cancer	4035	4035.0	36601	100.0	70.0	0.11	11291	11757	0.7264
TENX15		Heart	Heart	Visium	Healthy	skip	non_cancer	4247	4247.0	36601	100.0	93.9	0.77	13332	13332	0.7268
TENX14	IDC	Breast	Breast	Visium	Cancer	high		4015	4015.0	33538	100.0	78.8	0.36	24240	24240	0.3663
TENX13	IDC	Breast	Breast	Visium	Cancer	high		3813	3813.0	33538	100.0	78.8	0.35	24240	24240	0.3662
ZEN65	MEL	Skin	Skin	Visium	Cancer	skip	low_spots(932)	932	932.0	68886	100.0	62.8	-0.09	35392	36416	0.2208
ZEN61		Brain	Brain	Visium	Diseased	low	tier_inferred_from_organ	3476	3476.0	32285	100.0	78.1	0.34	9901	10000	0.8884
ZEN60		Brain	Brain	Visium	Healthy	skip	non_cancer	3541	3541.0	32285	100.0	78.1	0.34	9901	10000	0.8884
ZEN49	READ	Bowel	Rectum	Visium	Cancer	high		2203	2203.0	36601	100.0	61.0	-0.14	17168	16832	0.4596
ZEN48	READ	Bowel	Rectum	Visium	Cancer	high		2385	2385.0	36601	100.0	60.9	-0.14	17168	16832	0.4591
ZEN47	COAD	Bowel	Colon (right)	Visium	Cancer	high		2317	2317.0	36601	100.0	61.0	-0.14	17168	16832	0.4596
ZEN46	COAD	Bowel	Colon (right)	Visium	Cancer	high		1803	1803.0	36601	100.0	60.9	-0.14	17168	16832	0.459
ZEN45	COAD	Bowel	Colon (Sigma)	Visium	Cancer	skip	low_spots(328)	328	328.0	36601	100.0	62.0	-0.11	17215	17009	0.4601
ZEN44	COAD	Bowel	Colon (Sigma)	Visium	Cancer	high		1048	1048.0	36601	100.0	61.6	-0.13	17215	17009	0.4585
ZEN43	COAD	Bowel	Cecum	Visium	Cancer	skip	low_spots(691)	691	691.0	36601	100.0	59.8	-0.17	16878	16778	0.4597
ZEN42	COAD	Bowel	Colon (right)	Visium	Cancer	high		1192	1192.0	36601	100.0	59.6	-0.18	16878	16778	0.4587
ZEN41		Bowel	Sigma/Rectum	Visium	Healthy	skip	non_cancer	1685	1685.0	36601	100.0	59.8	-0.18	16878	16778	0.4594
ZEN40	READ	Bowel	Rectum	Visium	Cancer	high		2128	2128.0	36601	100.0	59.4	-0.18	16879	16655	0.4598
ZEN39	COAD	Bowel	Cecum	Visium	Cancer	high		1219	1219.0	36601	100.0	60.2	-0.16	16954	16804	0.4595
ZEN38	COAD	Bowel	Colon (right)	Visium	Cancer	skip	low_spots(387)	387	387.0	36601	100.0	60.2	-0.16	16954	16804	0.4597
ZEN37		Bowel	Sigma/Rectum	Visium	Healthy	skip	non_cancer	1656	1656.0	36601	100.0	60.4	-0.16	16954	16804	0.4603
ZEN36	READ	Bowel	Rectum	Visium	Cancer	high		1691	1691.0	36601	100.0	60.1	-0.17	16954	16804	0.4594
SPA154	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		346	1384.0	15045	200.0	43.8	-0.62	6954	7435	0.9206
SPA153	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		325	1300.0	15526	200.0	45.9	-0.56	6966	7441	0.9411
SPA152	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		359	1436.0	15517	200.0	43.7	-0.62	6935	7437	0.921
SPA151	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		343	1372.0	15583	200.0	43.9	-0.62	6975	7424	0.9206
SPA150	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		332	1328.0	15638	200.0	46.3	-0.55	6966	7419	0.9463
SPA149	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		360	1440.0	15645	200.0	44.0	-0.61	6980	7404	0.9227
SPA148	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		295	1180.0	15109	200.0	44.2	-0.61	9260	9912	0.6937
SPA147	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		270	1080.0	15290	200.0	44.1	-0.61	9282	9897	0.6926
SPA146	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		298	1192.0	15215	200.0	44.5	-0.6	9259	9912	0.696
SPA145	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		283	1132.0	15289	200.0	43.7	-0.62	9272	9923	0.6889
SPA144	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		289	1156.0	15273	200.0	41.4	-0.69	9284	9906	0.6706
SPA143	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		277	1108.0	15387	200.0	43.9	-0.62	9271	9931	0.6904
SPA142	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	skip	low_spots(176)	176	704.0	15557	200.0	40.3	-0.72	9252	9932	0.6621
SPA141	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	skip	low_spots(187)	187	748.0	15706	200.0	44.5	-0.6	9274	9911	0.6961
SPA140	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	skip	low_spots(180)	180	720.0	15821	200.0	41.2	-0.69	9270	9936	0.6691
SPA139	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	skip	low_spots(184)	184	736.0	15842	200.0	43.8	-0.62	9278	9916	0.6901
SPA138	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	skip	low_spots(181)	181	724.0	15721	200.0	43.8	-0.62	9272	9901	0.6907
SPA137	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	skip	low_spots(178)	178	712.0	15772	200.0	44.9	-0.59	9288	9907	0.6982
SPA136	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		306	1224.0	15661	200.0	43.4	-0.63	9275	9885	0.6881
SPA135	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		303	1212.0	15396	200.0	43.6	-0.62	9277	9892	0.6896
SPA134	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		301	1204.0	15529	200.0	43.7	-0.62	9297	9918	0.6882
SPA133	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		302	1208.0	15503	200.0	42.9	-0.64	9307	9881	0.6833
SPA132	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		306	1224.0	15666	200.0	42.8	-0.65	9272	9900	0.6824
SPA131	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		315	1260.0	15409	200.0	44.2	-0.61	9286	9885	0.694
SPA130	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		587	2348.0	15701	200.0	43.4	-0.63	9322	9922	0.6851
SPA129	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		572	2288.0	15167	200.0	43.5	-0.63	9308	9862	0.6885
SPA128	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		570	2280.0	15097	200.0	43.3	-0.63	9344	9907	0.6843
SPA127	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		691	2764.0	14861	200.0	45.2	-0.58	9307	9855	0.7021
SPA126	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		695	2780.0	15041	200.0	44.9	-0.59	9322	9906	0.6971
SPA125	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		712	2848.0	15067	200.0	43.9	-0.62	9328	9900	0.6893
SPA124	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		441	1764.0	14992	200.0	43.1	-0.64	9310	9910	0.6832
SPA123	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		467	1868.0	15258	200.0	43.1	-0.64	9326	9863	0.6845
SPA122	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		463	1852.0	15035	200.0	43.4	-0.63	9309	9861	0.6879
SPA121	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		613	2452.0	15029	200.0	42.9	-0.65	9301	9869	0.6836
SPA120	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		603	2412.0	14907	200.0	43.6	-0.63	9314	9873	0.6885
SPA119	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		510	2040.0	14873	200.0	43.5	-0.63	9319	9889	0.6872
SPA118	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		256	1024.0	16744	200.0	43.2	-0.64	9311	9856	0.686
SPA117	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		334	1336.0	16773	200.0	43.3	-0.63	9315	9875	0.6862
SPA116	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		357	1428.0	16826	200.0	43.2	-0.64	9297	9855	0.6867
SPA115	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		316	1264.0	19391	200.0	43.3	-0.63	9318	9863	0.6864
SPA114	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		301	1204.0	18702	200.0	42.7	-0.65	9283	9856	0.6834
SPA113	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		318	1272.0	18843	200.0	43.3	-0.63	9313	9857	0.6869
SPA112	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		292	1168.0	18082	200.0	42.5	-0.66	9332	9878	0.6791
SPA111	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		297	1188.0	17636	200.0	43.4	-0.63	9308	9860	0.6873
SPA110	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		414	1656.0	18201	200.0	43.2	-0.64	9316	9874	0.6852
SPA109	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		423	1692.0	18384	200.0	43.3	-0.63	9277	9849	0.6882
SPA108	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		403	1612.0	18578	200.0	43.5	-0.63	9314	9867	0.6878
SPA107	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		432	1728.0	16908	200.0	42.8	-0.65	9322	9849	0.6827
SPA106	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		428	1712.0	17273	200.0	42.6	-0.65	9281	9857	0.6826
SPA105	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		437	1748.0	17246	200.0	42.4	-0.66	9307	9858	0.6802
SPA104	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		587	2348.0	17368	200.0	43.5	-0.63	9322	9922	0.6855
SPA103	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		572	2288.0	18013	200.0	43.3	-0.63	9308	9862	0.6868
SPA102	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		570	2280.0	17960	200.0	43.4	-0.63	9344	9907	0.6844
SPA101	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		691	2764.0	17923	200.0	45.2	-0.58	9307	9855	0.7021
SPA100	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		695	2780.0	18126	200.0	44.9	-0.59	9322	9906	0.6971
SPA99	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		713	2852.0	18295	200.0	43.9	-0.62	9328	9900	0.6894
SPA98	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		441	1764.0	17824	200.0	43.8	-0.62	9310	9910	0.6894
SPA97	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		468	1872.0	18263	200.0	43.6	-0.63	9326	9863	0.6886
SPA96	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		464	1856.0	17973	200.0	43.7	-0.62	9309	9861	0.6897
SPA95	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		614	2456.0	17653	200.0	43.3	-0.63	9301	9869	0.6869
SPA94	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		603	2412.0	17509	200.0	43.4	-0.63	9314	9873	0.6871
SPA93	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		511	2044.0	17570	200.0	43.5	-0.63	9319	9889	0.6872
SPA92	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		325	1300.0	18015	200.0	42.2	-0.66	9303	9854	0.6785
SPA91	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		297	1188.0	18036	200.0	43.2	-0.64	9323	9846	0.686
SPA90	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		338	1352.0	17864	200.0	43.3	-0.63	9325	9888	0.6856
SPA89	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		435	1740.0	17546	200.0	44.2	-0.61	9344	9892	0.6912
SPA88	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		498	1992.0	17467	200.0	43.2	-0.64	9291	9908	0.6853
SPA87	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		492	1968.0	17417	200.0	42.9	-0.64	9290	9892	0.6836
SPA86	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		434	1736.0	17779	200.0	43.6	-0.62	9317	9920	0.687
SPA85	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		435	1740.0	18371	200.0	43.4	-0.63	9293	9947	0.6855
SPA84	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		433	1732.0	17576	200.0	43.3	-0.63	9320	9874	0.6859
SPA83	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		565	2260.0	17724	200.0	43.2	-0.64	9343	9900	0.6834
SPA82	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		578	2312.0	17593	200.0	43.8	-0.62	9278	9915	0.6899
SPA81	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		548	2192.0	17627	200.0	43.7	-0.62	9331	9914	0.6872
SPA80	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		368	1472.0	17428	200.0	43.4	-0.63	9351	9896	0.6849
SPA79	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		362	1448.0	17668	200.0	43.5	-0.63	9323	9861	0.6876
SPA78	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		363	1452.0	17751	200.0	43.3	-0.63	9346	9889	0.6847
SPA77	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		284	1136.0	17940	200.0	43.0	-0.64	9293	9894	0.6836
SPA76	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		283	1132.0	18081	200.0	41.2	-0.69	9278	9865	0.6712
SPA75	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		284	1136.0	18373	200.0	43.3	-0.64	9301	9866	0.6866
SPA74	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		506	2024.0	18191	200.0	43.5	-0.63	9334	9891	0.6863
SPA73	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		513	2052.0	18426	200.0	41.9	-0.67	9310	9906	0.6739
SPA72	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		566	2264.0	18853	200.0	42.0	-0.67	9341	9930	0.673
SPA71	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		489	1956.0	19017	200.0	44.8	-0.59	9309	9905	0.6967
SPA70	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		502	2008.0	19088	200.0	45.6	-0.57	9309	9907	0.7034
SPA69	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		482	1928.0	18606	200.0	45.2	-0.58	9307	9925	0.6996
SPA68	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		478	1912.0	18787	200.0	43.2	-0.64	9319	9925	0.6837
SPA67	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		473	1892.0	18663	200.0	43.4	-0.63	9302	9895	0.6868
SPA66	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		504	2016.0	18535	200.0	43.1	-0.64	9346	9897	0.6828
SPA65	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		498	1992.0	17686	200.0	43.6	-0.63	9315	9923	0.6865
SPA64	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		454	1816.0	17630	200.0	43.6	-0.62	9337	9885	0.6876
SPA63	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		518	2072.0	17402	200.0	44.0	-0.61	9326	9916	0.69
SPA62	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		294	1176.0	16859	200.0	43.9	-0.62	9299	9871	0.6913
SPA61	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		318	1272.0	18356	200.0	42.9	-0.65	9286	9852	0.6844
SPA60	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		331	1324.0	18298	200.0	42.9	-0.65	9286	9866	0.6839
SPA59	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		464	1856.0	17387	200.0	43.6	-0.63	9322	9922	0.6862
SPA58	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		480	1920.0	17641	200.0	43.3	-0.63	9335	9914	0.6837
SPA57	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		478	1912.0	17405	200.0	43.8	-0.62	9364	9909	0.6869
SPA56	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		597	2388.0	17933	200.0	43.2	-0.64	9297	9912	0.6843
SPA55	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		687	2748.0	18306	200.0	43.6	-0.63	9300	9926	0.687
SPA54	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		601	2404.0	17939	200.0	43.4	-0.63	9308	9917	0.6853
SPA53	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		402	1608.0	19729	200.0	42.8	-0.65	9296	9888	0.6827
SPA52	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		340	1360.0	18871	200.0	43.7	-0.62	9310	9891	0.6887
SPA51	IDC	Breast	Breast	Spatial Transcriptomics	Cancer	high		421	1684.0	19119	200.0	43.4	-0.63	9313	9898	0.6861
SPA48		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	55	220.0	39739	200.0	60.8	-0.15	9830	8602	0.848
SPA47		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	59	236.0	39739	200.0	70.5	0.12	9830	8602	0.9132
SPA46		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	69	276.0	39739	200.0	73.3	0.2	9830	8602	0.931
SPA45		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	55	220.0	39739	200.0	74.1	0.22	9830	8602	0.9358
SPA44		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	103	412.0	39739	200.0	56.5	-0.27	9830	8602	0.8172
SPA43		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	104	416.0	39739	200.0	51.2	-0.41	9830	8602	0.7783
SPA42		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	159	636.0	39739	200.0	49.1	-0.47	9830	8602	0.7621
SPA41		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	186	744.0	39739	200.0	55.9	-0.28	9830	8602	0.8132
SPA40		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	214	856.0	39739	200.0	53.0	-0.36	9830	8602	0.7914
SPA39		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	209	836.0	39739	200.0	67.7	0.04	9830	8755	0.8868
SPA38		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	178	712.0	39739	200.0	64.4	-0.05	9830	8602	0.8728
SPA37		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	182	728.0	39739	200.0	71.6	0.15	9830	8602	0.9201
SPA36		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	180	720.0	39739	200.0	71.9	0.16	9830	8602	0.9223
SPA35		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	238	952.0	39739	200.0	69.8	0.1	9830	8602	0.9084
SPA34		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	242	968.0	39739	200.0	68.4	0.06	9830	8602	0.8995
SPA33		Heart	Heart	Spatial Transcriptomics	Healthy	skip	non_cancer	243	972.0	39739	200.0	63.3	-0.08	9830	8602	0.8655
